timestamp,ip_src,ip_dest,src_port,dest_port,protocol,payload_len,app_protocol,is_ascii,suspicious_keywords,has_suspicious_keywords,error
2025-07-05T16:00:37.919017,1.1.1.1,192.168.0.106,53,35477,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.926869,192.168.0.106,1.1.1.1,39068,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.935769,1.1.1.1,192.168.0.106,53,39068,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.946170,192.168.0.106,1.1.1.1,37579,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.978587,1.1.1.1,192.168.0.106,53,37579,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.986202,192.168.0.106,1.1.1.1,43216,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.995738,1.1.1.1,192.168.0.106,53,43216,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.060571,192.168.0.106,1.1.1.1,41923,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.068718,1.1.1.1,192.168.0.106,53,41923,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.075921,192.168.0.106,1.1.1.1,58701,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.083095,1.1.1.1,192.168.0.106,53,58701,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.091352,192.168.0.106,1.1.1.1,59687,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.142905,1.1.1.1,192.168.0.106,53,59687,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.149955,192.168.0.106,1.1.1.1,50379,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.225188,1.1.1.1,192.168.0.106,53,50379,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.231995,192.168.0.106,1.1.1.1,58533,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.239760,1.1.1.1,192.168.0.106,53,58533,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.249482,192.168.0.106,1.1.1.1,49946,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.322848,1.1.1.1,192.168.0.106,53,49946,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.329582,192.168.0.106,1.1.1.1,54856,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.336719,1.1.1.1,192.168.0.106,53,54856,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.344744,192.168.0.106,1.1.1.1,48417,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:38.355667,1.1.1.1,192.168.0.106,53,48417,UDP,0,DNS,0,none,0,None
